seed,f,dp_fedavg_acc,fedvrdp_acc,agptr_acc,agptr_accept_rate
0,0.0,0.7982,0.8276,0.7771,0.6888888888888889
0,0.1,0.7638,0.8092,0.769,0.65
0,0.2,0.6225,0.7397,0.7564,0.48333333333333334
0,0.3,0.4642,0.447,0.7423,0.3277777777777778
0,0.4,0.2489,0.2836,0.7307,0.17777777777777778
0,0.49,0.1813,0.1,0.5878,0.027777777777777776
0,0.6,0.11,0.1,0.1053,0.005555555555555556
1,0.0,0.8091,0.8254,0.7793,0.7611111111111111
1,0.1,0.7595,0.7858,0.7713,0.6722222222222223
1,0.2,0.6721,0.7075,0.7502,0.5722222222222222
1,0.3,0.3753,0.4664,0.7301,0.23333333333333334
1,0.4,0.2326,0.2685,0.7338,0.15
1,0.49,0.1918,0.1092,0.6269,0.03333333333333333
1,0.6,0.1809,0.0981,0.1058,0.005555555555555556
2,0.0,0.7994,0.8165,0.773,0.7277777777777777
2,0.1,0.7589,0.7851,0.7548,0.7388888888888889
2,0.2,0.6557,0.7203,0.7485,0.6277777777777778
2,0.3,0.5048,0.5074,0.7436,0.42777777777777776
2,0.4,0.2439,0.2375,0.7398,0.19444444444444445
2,0.49,0.1804,0.1143,0.5904,0.027777777777777776
2,0.6,0.1,0.1,0.1823,0.005555555555555556
