attack,method,seed,round,acc
LF,DP-FedAvg,0,0,0.0427
LF,DP-FedAvg,0,5,0.6122
LF,DP-FedAvg,0,10,0.7283
LF,DP-FedAvg,0,15,0.7474
LF,DP-FedAvg,0,20,0.7627
LF,DP-FedAvg,0,25,0.7772
LF,DP-FedAvg,0,30,0.7827
LF,DP-FedAvg,0,35,0.7852
LF,DP-FedAvg,0,40,0.7866
LF,DP-FedAvg,0,45,0.7955
LF,DP-FedAvg,0,50,0.7963
LF,DP-FedAvg,0,55,0.7971
LF,DP-FedAvg,0,60,0.7957
LF,DP-FedAvg,0,65,0.7907
LF,DP-FedAvg,0,70,0.7915
LF,DP-FedAvg,0,75,0.7917
LF,DP-FedAvg,0,80,0.7923
LF,DP-FedAvg,0,85,0.786
LF,DP-FedAvg,0,90,0.7871
LF,DP-FedAvg,0,95,0.7955
LF,DP-FedAvg,0,100,0.7879
LF,DP-FedAvg,0,105,0.7834
LF,DP-FedAvg,0,110,0.782
LF,DP-FedAvg,0,115,0.7849
LF,DP-FedAvg,0,120,0.7625
LF,DP-FedAvg,0,125,0.7718
LF,DP-FedAvg,0,130,0.7672
LF,DP-FedAvg,0,135,0.7672
LF,DP-FedAvg,0,140,0.7585
LF,DP-FedAvg,0,145,0.7452
LF,DP-FedAvg,0,150,0.745
LF,DP-FedAvg,0,155,0.7547
LF,DP-FedAvg,0,160,0.7171
LF,DP-FedAvg,0,165,0.7338
LF,DP-FedAvg,0,170,0.7443
LF,DP-FedAvg,0,175,0.7244
LF,DP-FedAvg,0,180,0.7105
LF,DP-FedAvg,1,0,0.1713
LF,DP-FedAvg,1,5,0.5959
LF,DP-FedAvg,1,10,0.7044
LF,DP-FedAvg,1,15,0.7278
LF,DP-FedAvg,1,20,0.7566
LF,DP-FedAvg,1,25,0.7678
LF,DP-FedAvg,1,30,0.7776
LF,DP-FedAvg,1,35,0.7769
LF,DP-FedAvg,1,40,0.7895
LF,DP-FedAvg,1,45,0.7861
LF,DP-FedAvg,1,50,0.7859
LF,DP-FedAvg,1,55,0.7827
LF,DP-FedAvg,1,60,0.7911
LF,DP-FedAvg,1,65,0.7932
LF,DP-FedAvg,1,70,0.7941
LF,DP-FedAvg,1,75,0.7946
LF,DP-FedAvg,1,80,0.7882
LF,DP-FedAvg,1,85,0.7897
LF,DP-FedAvg,1,90,0.7897
LF,DP-FedAvg,1,95,0.7894
LF,DP-FedAvg,1,100,0.7894
LF,DP-FedAvg,1,105,0.7601
LF,DP-FedAvg,1,110,0.7801
LF,DP-FedAvg,1,115,0.753
LF,DP-FedAvg,1,120,0.7782
LF,DP-FedAvg,1,125,0.7419
LF,DP-FedAvg,1,130,0.774
LF,DP-FedAvg,1,135,0.7636
LF,DP-FedAvg,1,140,0.7675
LF,DP-FedAvg,1,145,0.7373
LF,DP-FedAvg,1,150,0.7581
LF,DP-FedAvg,1,155,0.7375
LF,DP-FedAvg,1,160,0.7244
LF,DP-FedAvg,1,165,0.747
LF,DP-FedAvg,1,170,0.7453
LF,DP-FedAvg,1,175,0.7301
LF,DP-FedAvg,1,180,0.7305
LF,DP-FedAvg,2,0,0.1001
LF,DP-FedAvg,2,5,0.6056
LF,DP-FedAvg,2,10,0.7315
LF,DP-FedAvg,2,15,0.7531
LF,DP-FedAvg,2,20,0.764
LF,DP-FedAvg,2,25,0.7704
LF,DP-FedAvg,2,30,0.7789
LF,DP-FedAvg,2,35,0.7819
LF,DP-FedAvg,2,40,0.7946
LF,DP-FedAvg,2,45,0.7985
LF,DP-FedAvg,2,50,0.7912
LF,DP-FedAvg,2,55,0.7975
LF,DP-FedAvg,2,60,0.7921
LF,DP-FedAvg,2,65,0.7832
LF,DP-FedAvg,2,70,0.794
LF,DP-FedAvg,2,75,0.794
LF,DP-FedAvg,2,80,0.7862
LF,DP-FedAvg,2,85,0.7887
LF,DP-FedAvg,2,90,0.7844
LF,DP-FedAvg,2,95,0.7661
LF,DP-FedAvg,2,100,0.7825
LF,DP-FedAvg,2,105,0.7685
LF,DP-FedAvg,2,110,0.7827
LF,DP-FedAvg,2,115,0.7758
LF,DP-FedAvg,2,120,0.7726
LF,DP-FedAvg,2,125,0.7601
LF,DP-FedAvg,2,130,0.7616
LF,DP-FedAvg,2,135,0.747
LF,DP-FedAvg,2,140,0.7572
LF,DP-FedAvg,2,145,0.7286
LF,DP-FedAvg,2,150,0.7498
LF,DP-FedAvg,2,155,0.7374
LF,DP-FedAvg,2,160,0.725
LF,DP-FedAvg,2,165,0.7217
LF,DP-FedAvg,2,170,0.7186
LF,DP-FedAvg,2,175,0.7243
LF,DP-FedAvg,2,180,0.6979
LF,FedVRDP,0,0,0.0427
LF,FedVRDP,0,5,0.4831
LF,FedVRDP,0,10,0.5425
LF,FedVRDP,0,15,0.6333
LF,FedVRDP,0,20,0.7032
LF,FedVRDP,0,25,0.7313
LF,FedVRDP,0,30,0.7447
LF,FedVRDP,0,35,0.7512
LF,FedVRDP,0,40,0.7608
LF,FedVRDP,0,45,0.7684
LF,FedVRDP,0,50,0.7687
LF,FedVRDP,0,55,0.7744
LF,FedVRDP,0,60,0.7785
LF,FedVRDP,0,65,0.7835
LF,FedVRDP,0,70,0.791
LF,FedVRDP,0,75,0.7937
LF,FedVRDP,0,80,0.7951
LF,FedVRDP,0,85,0.7973
LF,FedVRDP,0,90,0.8005
LF,FedVRDP,0,95,0.8032
LF,FedVRDP,0,100,0.8056
LF,FedVRDP,0,105,0.8087
LF,FedVRDP,0,110,0.8111
LF,FedVRDP,0,115,0.8112
LF,FedVRDP,0,120,0.8129
LF,FedVRDP,0,125,0.8104
LF,FedVRDP,0,130,0.8056
LF,FedVRDP,0,135,0.8071
LF,FedVRDP,0,140,0.8102
LF,FedVRDP,0,145,0.8075
LF,FedVRDP,0,150,0.8125
LF,FedVRDP,0,155,0.8097
LF,FedVRDP,0,160,0.81
LF,FedVRDP,0,165,0.8111
LF,FedVRDP,0,170,0.8057
LF,FedVRDP,0,175,0.808
LF,FedVRDP,0,180,0.8019
LF,FedVRDP,1,0,0.1713
LF,FedVRDP,1,5,0.4556
LF,FedVRDP,1,10,0.5387
LF,FedVRDP,1,15,0.6102
LF,FedVRDP,1,20,0.686
LF,FedVRDP,1,25,0.7199
LF,FedVRDP,1,30,0.7278
LF,FedVRDP,1,35,0.7385
LF,FedVRDP,1,40,0.7445
LF,FedVRDP,1,45,0.7498
LF,FedVRDP,1,50,0.7558
LF,FedVRDP,1,55,0.7619
LF,FedVRDP,1,60,0.7705
LF,FedVRDP,1,65,0.772
LF,FedVRDP,1,70,0.7766
LF,FedVRDP,1,75,0.7802
LF,FedVRDP,1,80,0.7843
LF,FedVRDP,1,85,0.7842
LF,FedVRDP,1,90,0.788
LF,FedVRDP,1,95,0.7929
LF,FedVRDP,1,100,0.7924
LF,FedVRDP,1,105,0.7934
LF,FedVRDP,1,110,0.7948
LF,FedVRDP,1,115,0.7937
LF,FedVRDP,1,120,0.7996
LF,FedVRDP,1,125,0.7949
LF,FedVRDP,1,130,0.7975
LF,FedVRDP,1,135,0.7934
LF,FedVRDP,1,140,0.7944
LF,FedVRDP,1,145,0.7939
LF,FedVRDP,1,150,0.7939
LF,FedVRDP,1,155,0.7929
LF,FedVRDP,1,160,0.7945
LF,FedVRDP,1,165,0.7938
LF,FedVRDP,1,170,0.7939
LF,FedVRDP,1,175,0.7882
LF,FedVRDP,1,180,0.7893
LF,FedVRDP,2,0,0.1001
LF,FedVRDP,2,5,0.4573
LF,FedVRDP,2,10,0.5592
LF,FedVRDP,2,15,0.6709
