attack,method,f,acc,accept_rate
ALIE,DP-FedAvg,0.0,0.7238,
ALIE,DP-FedAvg,0.1,0.6956,
ALIE,DP-FedAvg,0.2,0.6337,
ALIE,DP-FedAvg,0.3,0.542,
ALIE,DP-FedAvg,0.4,0.3022,
ALIE,DP-FedAvg,0.49,0.2028,
ALIE,DP-FedAvg,0.6,0.1219,
ALIE,FedVRDP-style,0.0,0.7628,
ALIE,FedVRDP-style,0.1,0.7417,
ALIE,FedVRDP-style,0.2,0.7046,
ALIE,FedVRDP-style,0.3,0.5828,
ALIE,FedVRDP-style,0.4,0.4312,
ALIE,FedVRDP-style,0.49,0.2981,
ALIE,FedVRDP-style,0.6,0.1256,
ALIE,Median,0.0,0.7697,
ALIE,Median,0.1,0.7455,
ALIE,Median,0.2,0.7103,
ALIE,Median,0.3,0.6365,
ALIE,Median,0.4,0.5209,
ALIE,Median,0.49,0.1001,
ALIE,Median,0.6,0.1,
ALIE,TrimmedMean,0.0,0.8048,
ALIE,TrimmedMean,0.1,0.7681,
ALIE,TrimmedMean,0.2,0.7043,
ALIE,TrimmedMean,0.3,0.5536,
ALIE,TrimmedMean,0.4,0.4754,
ALIE,TrimmedMean,0.49,0.1001,
ALIE,TrimmedMean,0.6,0.1,
ALIE,Krum,0.0,0.7265,
ALIE,Krum,0.1,0.6997,
ALIE,Krum,0.2,0.7096,
ALIE,Krum,0.3,0.7214,
ALIE,Krum,0.4,0.6128,
ALIE,Krum,0.49,0.1002,
ALIE,Krum,0.6,0.1,
ALIE,SparseFed-style,0.0,0.8003,
ALIE,SparseFed-style,0.1,0.7794,
ALIE,SparseFed-style,0.2,0.6452,
ALIE,SparseFed-style,0.3,0.5032,
ALIE,SparseFed-style,0.4,0.4411,
ALIE,SparseFed-style,0.49,0.3344,
ALIE,SparseFed-style,0.6,0.1717,
ALIE,AG-PTR,0.0,0.761,0.9777777777777777
ALIE,AG-PTR,0.1,0.7387,0.9722222222222222
ALIE,AG-PTR,0.2,0.7685,0.8555555555555555
ALIE,AG-PTR,0.3,0.7341,0.5722222222222222
ALIE,AG-PTR,0.4,0.7281,0.3333333333333333
ALIE,AG-PTR,0.49,0.6447,0.12222222222222222
ALIE,AG-PTR,0.6,0.1046,0.005555555555555556
FoE,DP-FedAvg,0.0,0.7238,
FoE,DP-FedAvg,0.1,0.7202,
FoE,DP-FedAvg,0.2,0.698,
FoE,DP-FedAvg,0.3,0.6725,
FoE,DP-FedAvg,0.4,0.5581,
FoE,DP-FedAvg,0.49,0.1,
FoE,DP-FedAvg,0.6,0.1,
FoE,FedVRDP-style,0.0,0.7628,
FoE,FedVRDP-style,0.1,0.7449,
FoE,FedVRDP-style,0.2,0.7144,
FoE,FedVRDP-style,0.3,0.6739,
FoE,FedVRDP-style,0.4,0.5677,
FoE,FedVRDP-style,0.49,0.1286,
FoE,FedVRDP-style,0.6,0.1,
FoE,Median,0.0,0.7697,
FoE,Median,0.1,0.7264,
FoE,Median,0.2,0.6676,
FoE,Median,0.3,0.4959,
FoE,Median,0.4,0.1967,
FoE,Median,0.49,0.1477,
FoE,Median,0.6,0.1,
FoE,TrimmedMean,0.0,0.8048,
FoE,TrimmedMean,0.1,0.7792,
FoE,TrimmedMean,0.2,0.7264,
FoE,TrimmedMean,0.3,0.4312,
FoE,TrimmedMean,0.4,0.194,
FoE,TrimmedMean,0.49,0.1341,
FoE,TrimmedMean,0.6,0.1,
FoE,Krum,0.0,0.7265,
FoE,Krum,0.1,0.3096,
FoE,Krum,0.2,0.7046,
FoE,Krum,0.3,0.5339,
FoE,Krum,0.4,0.003,
FoE,Krum,0.49,0.1,
FoE,Krum,0.6,0.1,
FoE,SparseFed-style,0.0,0.8003,
FoE,SparseFed-style,0.1,0.7911,
FoE,SparseFed-style,0.2,0.7815,
FoE,SparseFed-style,0.3,0.7656,
FoE,SparseFed-style,0.4,0.7261,
FoE,SparseFed-style,0.49,0.2733,
FoE,SparseFed-style,0.6,0.1,
FoE,AG-PTR,0.0,0.761,0.9777777777777777
FoE,AG-PTR,0.1,0.7663,0.9722222222222222
FoE,AG-PTR,0.2,0.7566,0.9
FoE,AG-PTR,0.3,0.7645,0.7
FoE,AG-PTR,0.4,0.7463,0.38333333333333336
FoE,AG-PTR,0.49,0.6518,0.12777777777777777
FoE,AG-PTR,0.6,0.0427,0.0
LF,DP-FedAvg,0.0,0.7238,
LF,DP-FedAvg,0.1,0.6852,
LF,DP-FedAvg,0.2,0.6456,
LF,DP-FedAvg,0.3,0.5733,
LF,DP-FedAvg,0.4,0.4891,
LF,DP-FedAvg,0.49,0.4049,
LF,DP-FedAvg,0.6,0.272,
LF,FedVRDP-style,0.0,0.7628,
LF,FedVRDP-style,0.1,0.7417,
LF,FedVRDP-style,0.2,0.7219,
LF,FedVRDP-style,0.3,0.681,
LF,FedVRDP-style,0.4,0.5878,
LF,FedVRDP-style,0.49,0.4394,
LF,FedVRDP-style,0.6,0.1854,
LF,Median,0.0,0.7697,
LF,Median,0.1,0.7491,
LF,Median,0.2,0.7554,
LF,Median,0.3,0.7533,
LF,Median,0.4,0.7129,
LF,Median,0.49,0.4668,
LF,Median,0.6,0.0864,
LF,TrimmedMean,0.0,0.8048,
LF,TrimmedMean,0.1,0.7937,
LF,TrimmedMean,0.2,0.7733,
LF,TrimmedMean,0.3,0.7575,
LF,TrimmedMean,0.4,0.7132,
LF,TrimmedMean,0.49,0.473,
LF,TrimmedMean,0.6,0.0883,
LF,Krum,0.0,0.7265,
LF,Krum,0.1,0.7114,
LF,Krum,0.2,0.7164,
LF,Krum,0.3,0.7158,
LF,Krum,0.4,0.7254,
LF,Krum,0.49,0.0107,
LF,Krum,0.6,0.0116,
LF,SparseFed-style,0.0,0.8003,
LF,SparseFed-style,0.1,0.7931,
LF,SparseFed-style,0.2,0.786,
LF,SparseFed-style,0.3,0.7707,
LF,SparseFed-style,0.4,0.6945,
LF,SparseFed-style,0.49,0.4702,
LF,SparseFed-style,0.6,0.1048,
LF,AG-PTR,0.0,0.761,0.9777777777777777
LF,AG-PTR,0.1,0.7592,0.8833333333333333
LF,AG-PTR,0.2,0.778,0.9055555555555556
LF,AG-PTR,0.3,0.7613,0.8166666666666667
LF,AG-PTR,0.4,0.7521,0.5666666666666667
LF,AG-PTR,0.49,0.7094,0.3111111111111111
LF,AG-PTR,0.6,0.0427,0.0
MinMax,DP-FedAvg,0.0,0.7238,
MinMax,DP-FedAvg,0.1,0.6685,
MinMax,DP-FedAvg,0.2,0.5952,
MinMax,DP-FedAvg,0.3,0.376,
MinMax,DP-FedAvg,0.4,0.3298,
