attack,method,f,acc,accept_rate
ALIE,DP-FedAvg,0.0,0.2877,
ALIE,DP-FedAvg,0.1,0.18,
ALIE,DP-FedAvg,0.2,0.1164,
ALIE,DP-FedAvg,0.3,0.0961,
ALIE,DP-FedAvg,0.4,0.0974,
ALIE,DP-FedAvg,0.49,0.0969,
ALIE,DP-FedAvg,0.6,0.0995,
ALIE,FedVRDP-style,0.0,0.3344,
ALIE,FedVRDP-style,0.1,0.2362,
ALIE,FedVRDP-style,0.2,0.139,
ALIE,FedVRDP-style,0.3,0.108,
ALIE,FedVRDP-style,0.4,0.1007,
ALIE,FedVRDP-style,0.49,0.0991,
ALIE,FedVRDP-style,0.6,0.0939,
ALIE,Median,0.0,0.441,
ALIE,Median,0.1,0.3524,
ALIE,Median,0.2,0.2541,
ALIE,Median,0.3,0.1006,
ALIE,Median,0.4,0.1001,
ALIE,Median,0.49,0.1,
ALIE,Median,0.6,0.1,
ALIE,TrimmedMean,0.0,0.4753,
ALIE,TrimmedMean,0.1,0.3452,
ALIE,TrimmedMean,0.2,0.1151,
ALIE,TrimmedMean,0.3,0.1039,
ALIE,TrimmedMean,0.4,0.1042,
ALIE,TrimmedMean,0.49,0.1,
ALIE,TrimmedMean,0.6,0.1,
ALIE,Krum,0.0,0.3501,
ALIE,Krum,0.1,0.3497,
ALIE,Krum,0.2,0.3556,
ALIE,Krum,0.3,0.3402,
ALIE,Krum,0.4,0.1,
ALIE,Krum,0.49,0.1,
ALIE,Krum,0.6,0.1,
ALIE,SparseFed-style,0.0,0.4611,
ALIE,SparseFed-style,0.1,0.3564,
ALIE,SparseFed-style,0.2,0.1715,
ALIE,SparseFed-style,0.3,0.1004,
ALIE,SparseFed-style,0.4,0.1001,
ALIE,SparseFed-style,0.49,0.1,
ALIE,SparseFed-style,0.6,0.1,
ALIE,AG-PTR,0.0,0.3884,0.8111111111111111
ALIE,AG-PTR,0.1,0.3812,0.8222222222222222
ALIE,AG-PTR,0.2,0.3709,0.7833333333333333
ALIE,AG-PTR,0.3,0.3222,0.49444444444444446
ALIE,AG-PTR,0.4,0.2757,0.17777777777777778
