attack,method,f,acc,accept_rate
ALIE,DP-FedAvg (FedAdam),0.0,0.0984,
ALIE,DP-FedAvg (FedAdam),0.1,0.1023,
ALIE,DP-FedAvg (FedAdam),0.2,0.1026,
ALIE,DP-FedAvg (FedAdam),0.3,0.1273,
ALIE,DP-FedAvg (FedAdam),0.4,0.1013,
ALIE,DP-FedAvg (FedAdam),0.49,0.1007,
ALIE,DP-FedAvg (FedAdam),0.6,0.1007,
ALIE,FedVRDP-style (FedAdam),0.0,0.5172,
ALIE,FedVRDP-style (FedAdam),0.1,0.3685,
ALIE,FedVRDP-style (FedAdam),0.2,0.1405,
ALIE,FedVRDP-style (FedAdam),0.3,0.1552,
ALIE,FedVRDP-style (FedAdam),0.4,0.1344,
ALIE,FedVRDP-style (FedAdam),0.49,0.1261,
ALIE,FedVRDP-style (FedAdam),0.6,0.154,
ALIE,Median (FedAdam),0.0,0.7789,
ALIE,Median (FedAdam),0.1,0.0998,
ALIE,Median (FedAdam),0.2,0.408,
ALIE,Median (FedAdam),0.3,0.1824,
ALIE,Median (FedAdam),0.4,0.1,
ALIE,Median (FedAdam),0.49,0.1,
ALIE,Median (FedAdam),0.6,0.1,
ALIE,TrimmedMean (FedAdam),0.0,0.8256,
ALIE,TrimmedMean (FedAdam),0.1,0.3568,
ALIE,TrimmedMean (FedAdam),0.2,0.2561,
ALIE,TrimmedMean (FedAdam),0.3,0.1714,
ALIE,TrimmedMean (FedAdam),0.4,0.1,
ALIE,TrimmedMean (FedAdam),0.49,0.1,
ALIE,TrimmedMean (FedAdam),0.6,0.1,
ALIE,Krum (FedAdam),0.0,0.1,
ALIE,Krum (FedAdam),0.1,0.1,
ALIE,Krum (FedAdam),0.2,0.1,
ALIE,Krum (FedAdam),0.3,0.1542,
ALIE,Krum (FedAdam),0.4,0.1,
ALIE,Krum (FedAdam),0.49,0.1,
ALIE,Krum (FedAdam),0.6,0.1,
ALIE,SparseFed-style (FedAdam),0.0,0.8708,
ALIE,SparseFed-style (FedAdam),0.1,0.441,
ALIE,SparseFed-style (FedAdam),0.2,0.1458,
ALIE,SparseFed-style (FedAdam),0.3,0.1,
ALIE,SparseFed-style (FedAdam),0.4,0.1,
ALIE,SparseFed-style (FedAdam),0.49,0.1,
ALIE,SparseFed-style (FedAdam),0.6,0.1,
ALIE,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
ALIE,AG-PTR (P=I),0.1,0.1028,0.39444444444444443
ALIE,AG-PTR (P=I),0.2,0.1009,0.4166666666666667
ALIE,AG-PTR (P=I),0.3,0.2895,0.3
ALIE,AG-PTR (P=I),0.4,0.1101,0.2
ALIE,AG-PTR (P=I),0.49,0.4505,0.05555555555555555
ALIE,AG-PTR (P=I),0.6,0.2171,0.016666666666666666
ALIE,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
ALIE,AG-PTR (FedAdam-diag P),0.1,0.7536,0.3277777777777778
ALIE,AG-PTR (FedAdam-diag P),0.2,0.7347,0.1
ALIE,AG-PTR (FedAdam-diag P),0.3,0.7211,0.1111111111111111
ALIE,AG-PTR (FedAdam-diag P),0.4,0.7161,0.08333333333333333
ALIE,AG-PTR (FedAdam-diag P),0.49,0.7211,0.08888888888888889
ALIE,AG-PTR (FedAdam-diag P),0.6,0.3826,0.005555555555555556
FoE,DP-FedAvg (FedAdam),0.0,0.0984,
FoE,DP-FedAvg (FedAdam),0.1,0.0965,
FoE,DP-FedAvg (FedAdam),0.2,0.3975,
FoE,DP-FedAvg (FedAdam),0.3,0.2913,
FoE,DP-FedAvg (FedAdam),0.4,0.1911,
FoE,DP-FedAvg (FedAdam),0.49,0.1,
FoE,DP-FedAvg (FedAdam),0.6,0.1,
FoE,FedVRDP-style (FedAdam),0.0,0.5172,
FoE,FedVRDP-style (FedAdam),0.1,0.6134,
FoE,FedVRDP-style (FedAdam),0.2,0.5787,
FoE,FedVRDP-style (FedAdam),0.3,0.6101,
FoE,FedVRDP-style (FedAdam),0.4,0.5235,
FoE,FedVRDP-style (FedAdam),0.49,0.241,
FoE,FedVRDP-style (FedAdam),0.6,0.1,
FoE,Median (FedAdam),0.0,0.7789,
FoE,Median (FedAdam),0.1,0.7049,
FoE,Median (FedAdam),0.2,0.5488,
FoE,Median (FedAdam),0.3,0.1,
FoE,Median (FedAdam),0.4,0.1,
FoE,Median (FedAdam),0.49,0.1,
FoE,Median (FedAdam),0.6,0.1,
FoE,TrimmedMean (FedAdam),0.0,0.8256,
FoE,TrimmedMean (FedAdam),0.1,0.7606,
FoE,TrimmedMean (FedAdam),0.2,0.6187,
FoE,TrimmedMean (FedAdam),0.3,0.0953,
FoE,TrimmedMean (FedAdam),0.4,0.1,
FoE,TrimmedMean (FedAdam),0.49,0.1,
FoE,TrimmedMean (FedAdam),0.6,0.1,
FoE,Krum (FedAdam),0.0,0.1,
FoE,Krum (FedAdam),0.1,0.5602,
FoE,Krum (FedAdam),0.2,0.1,
FoE,Krum (FedAdam),0.3,0.1,
FoE,Krum (FedAdam),0.4,0.1,
FoE,Krum (FedAdam),0.49,0.1,
FoE,Krum (FedAdam),0.6,0.1,
FoE,SparseFed-style (FedAdam),0.0,0.8708,
FoE,SparseFed-style (FedAdam),0.1,0.8794,
FoE,SparseFed-style (FedAdam),0.2,0.8931,
FoE,SparseFed-style (FedAdam),0.3,0.8933,
FoE,SparseFed-style (FedAdam),0.4,0.8814,
FoE,SparseFed-style (FedAdam),0.49,0.1001,
FoE,SparseFed-style (FedAdam),0.6,0.1,
FoE,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
FoE,AG-PTR (P=I),0.1,0.3438,0.19444444444444445
FoE,AG-PTR (P=I),0.2,0.0864,0.3111111111111111
FoE,AG-PTR (P=I),0.3,0.1525,0.20555555555555555
