Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,ALIE,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.1,0.6956,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.2,0.6337,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.3,0.542,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.4,0.3022,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.49,0.2028,
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.6,0.1219,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.1,0.7417,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.2,0.7046,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.3,0.5828,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.4,0.4312,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.49,0.2981,
Fashion-MNIST-IID,ALIE,FedVRDP-style,0.6,0.1256,
Fashion-MNIST-IID,ALIE,Median,0,0.7697,
Fashion-MNIST-IID,ALIE,Median,0.1,0.7455,
Fashion-MNIST-IID,ALIE,Median,0.2,0.7103,
Fashion-MNIST-IID,ALIE,Median,0.3,0.6365,
Fashion-MNIST-IID,ALIE,Median,0.4,0.5209,
Fashion-MNIST-IID,ALIE,Median,0.49,0.1001,
Fashion-MNIST-IID,ALIE,Median,0.6,0.1,
Fashion-MNIST-IID,ALIE,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.1,0.7681,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.2,0.7043,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.3,0.5536,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.4,0.4754,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.49,0.1001,
Fashion-MNIST-IID,ALIE,TrimmedMean,0.6,0.1,
Fashion-MNIST-IID,ALIE,Krum,0,0.7265,
Fashion-MNIST-IID,ALIE,Krum,0.1,0.6997,
Fashion-MNIST-IID,ALIE,Krum,0.2,0.7096,
Fashion-MNIST-IID,ALIE,Krum,0.3,0.7214,
Fashion-MNIST-IID,ALIE,Krum,0.4,0.6128,
Fashion-MNIST-IID,ALIE,Krum,0.49,0.1002,
Fashion-MNIST-IID,ALIE,Krum,0.6,0.1,
Fashion-MNIST-IID,ALIE,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.1,0.7794,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.2,0.6452,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.3,0.5032,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.4,0.4411,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.49,0.3344,
Fashion-MNIST-IID,ALIE,SparseFed-style,0.6,0.1717,
Fashion-MNIST-IID,ALIE,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,ALIE,AG-PTR,0.1,0.7387,0.9722222222222222
Fashion-MNIST-IID,ALIE,AG-PTR,0.2,0.7685,0.8555555555555555
Fashion-MNIST-IID,ALIE,AG-PTR,0.3,0.7341,0.5722222222222222
Fashion-MNIST-IID,ALIE,AG-PTR,0.4,0.7281,0.3333333333333333
Fashion-MNIST-IID,ALIE,AG-PTR,0.49,0.6447,0.12222222222222222
Fashion-MNIST-IID,ALIE,AG-PTR,0.6,0.1046,0.005555556
Fashion-MNIST-IID,FoE,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.1,0.7202,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.2,0.698,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.3,0.6725,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.4,0.5581,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.49,0.1,
Fashion-MNIST-IID,FoE,DP-FedAvg,0.6,0.1,
Fashion-MNIST-IID,FoE,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.1,0.7449,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.2,0.7144,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.3,0.6739,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.4,0.5677,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.49,0.1286,
Fashion-MNIST-IID,FoE,FedVRDP-style,0.6,0.1,
Fashion-MNIST-IID,FoE,Median,0,0.7697,
Fashion-MNIST-IID,FoE,Median,0.1,0.7264,
Fashion-MNIST-IID,FoE,Median,0.2,0.6676,
Fashion-MNIST-IID,FoE,Median,0.3,0.4959,
Fashion-MNIST-IID,FoE,Median,0.4,0.1967,
Fashion-MNIST-IID,FoE,Median,0.49,0.1477,
Fashion-MNIST-IID,FoE,Median,0.6,0.1,
Fashion-MNIST-IID,FoE,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,FoE,TrimmedMean,0.1,0.7792,
Fashion-MNIST-IID,FoE,TrimmedMean,0.2,0.7264,
Fashion-MNIST-IID,FoE,TrimmedMean,0.3,0.4312,
Fashion-MNIST-IID,FoE,TrimmedMean,0.4,0.194,
Fashion-MNIST-IID,FoE,TrimmedMean,0.49,0.1341,
Fashion-MNIST-IID,FoE,TrimmedMean,0.6,0.1,
Fashion-MNIST-IID,FoE,Krum,0,0.7265,
Fashion-MNIST-IID,FoE,Krum,0.1,0.3096,
Fashion-MNIST-IID,FoE,Krum,0.2,0.7046,
Fashion-MNIST-IID,FoE,Krum,0.3,0.5339,
Fashion-MNIST-IID,FoE,Krum,0.4,0.003,
Fashion-MNIST-IID,FoE,Krum,0.49,0.1,
Fashion-MNIST-IID,FoE,Krum,0.6,0.1,
Fashion-MNIST-IID,FoE,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,FoE,SparseFed-style,0.1,0.7911,
Fashion-MNIST-IID,FoE,SparseFed-style,0.2,0.7815,
Fashion-MNIST-IID,FoE,SparseFed-style,0.3,0.7656,
Fashion-MNIST-IID,FoE,SparseFed-style,0.4,0.7261,
Fashion-MNIST-IID,FoE,SparseFed-style,0.49,0.2733,
Fashion-MNIST-IID,FoE,SparseFed-style,0.6,0.1,
Fashion-MNIST-IID,FoE,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,FoE,AG-PTR,0.1,0.7663,0.9722222222222222
Fashion-MNIST-IID,FoE,AG-PTR,0.2,0.7566,0.9
Fashion-MNIST-IID,FoE,AG-PTR,0.3,0.7645,0.7
Fashion-MNIST-IID,FoE,AG-PTR,0.4,0.7463,0.38333333333333336
Fashion-MNIST-IID,FoE,AG-PTR,0.49,0.6518,0.12777777777777777
Fashion-MNIST-IID,FoE,AG-PTR,0.6,0.0427,0
Fashion-MNIST-IID,LF,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,LF,DP-FedAvg,0.1,0.6852,
Fashion-MNIST-IID,LF,DP-FedAvg,0.2,0.6456,
Fashion-MNIST-IID,LF,DP-FedAvg,0.3,0.5733,
Fashion-MNIST-IID,LF,DP-FedAvg,0.4,0.4891,
Fashion-MNIST-IID,LF,DP-FedAvg,0.49,0.4049,
Fashion-MNIST-IID,LF,DP-FedAvg,0.6,0.272,
Fashion-MNIST-IID,LF,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,LF,FedVRDP-style,0.1,0.7417,
Fashion-MNIST-IID,LF,FedVRDP-style,0.2,0.7219,
Fashion-MNIST-IID,LF,FedVRDP-style,0.3,0.681,
Fashion-MNIST-IID,LF,FedVRDP-style,0.4,0.5878,
Fashion-MNIST-IID,LF,FedVRDP-style,0.49,0.4394,
Fashion-MNIST-IID,LF,FedVRDP-style,0.6,0.1854,
Fashion-MNIST-IID,LF,Median,0,0.7697,
Fashion-MNIST-IID,LF,Median,0.1,0.7491,
Fashion-MNIST-IID,LF,Median,0.2,0.7554,
Fashion-MNIST-IID,LF,Median,0.3,0.7533,
Fashion-MNIST-IID,LF,Median,0.4,0.7129,
Fashion-MNIST-IID,LF,Median,0.49,0.4668,
Fashion-MNIST-IID,LF,Median,0.6,0.0864,
Fashion-MNIST-IID,LF,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,LF,TrimmedMean,0.1,0.7937,
Fashion-MNIST-IID,LF,TrimmedMean,0.2,0.7733,
Fashion-MNIST-IID,LF,TrimmedMean,0.3,0.7575,
Fashion-MNIST-IID,LF,TrimmedMean,0.4,0.7132,
Fashion-MNIST-IID,LF,TrimmedMean,0.49,0.473,
Fashion-MNIST-IID,LF,TrimmedMean,0.6,0.0883,
Fashion-MNIST-IID,LF,Krum,0,0.7265,
Fashion-MNIST-IID,LF,Krum,0.1,0.7114,
Fashion-MNIST-IID,LF,Krum,0.2,0.7164,
